,Count,Hour,Temp,Hum,Wind,Visb,Rainfall,Snow,Weekend,Holiday,Fday,DWeek_Friday,DWeek_Monday,DWeek_Saturday,DWeek_Sunday,DWeek_Thursday,DWeek_Tuesday,DWeek_Wedesday,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter
0,254,0,-5.2,37,2.2,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
1,204,1,-5.5,38,0.8,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
2,173,2,-6.0,39,1.0,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
3,107,3,-6.2,40,0.9,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
4,78,4,-6.0,36,2.3,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
5,100,5,-6.4,37,1.5,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
6,181,6,-6.6,35,1.3,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
7,460,7,-7.4,38,0.9,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
8,930,8,-7.6,37,1.1,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
9,490,9,-6.5,27,0.5,1928,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
10,339,10,-3.5,24,1.2,1996,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
11,360,11,-0.5,21,1.3,1936,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
12,449,12,1.7,23,1.4,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
13,451,13,2.4,25,1.6,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
14,447,14,3.0,26,2.0,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
15,463,15,2.1,36,3.2,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
16,484,16,1.2,54,4.2,793,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
17,555,17,0.8,58,1.6,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
18,862,18,0.6,66,1.4,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
19,600,19,0.0,77,1.7,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
20,426,20,-0.3,79,1.5,1913,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
21,405,21,-0.8,81,0.8,1687,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
22,398,22,-0.9,83,1.5,1380,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
23,323,23,-1.3,84,1.0,1265,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
24,328,0,-1.8,87,1.1,994,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
25,308,1,-2.2,86,0.6,990,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
26,262,2,-2.9,86,1.5,1256,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
27,167,3,-3.5,81,2.2,1221,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
